title,url
Fiction Melee Lesson ft. Kacey #2 - Falco vs Falco,https://www.youtube.com/watch?v=y4eIWGscHNM
Fiction Melee Lesson ft. Javes #3 - Fox vs Sheik,https://www.youtube.com/watch?v=A7E5r2f_3Jw
Fiction Melee Lesson ft. Vei - Fox vs Falco,https://www.youtube.com/watch?v=bAc-FYyP06E
Fiction Melee Lesson ft. AlyJ #3 - Falco vs Marth,https://www.youtube.com/watch?v=ILGh1nI08Oc
Fiction Melee Lesson ft. Enhk #2 - Falco vs Sheik,https://www.youtube.com/watch?v=QPbktaVA2xQ
Fiction Melee Lesson ft. Dredd - Falco vs Falco,https://www.youtube.com/watch?v=1xcZlTUaJIQ
Fiction Melee Lesson ft. Cell/Buu #27 - Marth vs Fox overview,https://www.youtube.com/watch?v=6NjjWqoWS08
Fiction Melee Lesson ft. Meleesadposts #2 - Sheik vs Falco,https://www.youtube.com/watch?v=pByPkuH2tds
Fiction Melee Lesson ft. Interguy8 #2 - Falco vs Peach,https://www.youtube.com/watch?v=hYWri_hQ0yE
Fiction Melee Lesson ft. lovestory4a - Sheik vs Falco,https://www.youtube.com/watch?v=uqhff5T-vaI
Fiction Melee Lesson ft. Enhk - Falco vs Falco/Peach,https://www.youtube.com/watch?v=bTx5zrRMuPg
Fiction Melee Lesson ft.  Penguis - Falco vs Marth,https://www.youtube.com/watch?v=X5f15R3wg98
Fiction Melee Lesson ft. Denim - Falco vs Marth/Sheik,https://www.youtube.com/watch?v=W34exincHz4
Fiction Melee Lesson ft. Meleesadposts - Sheik vs Falco,https://www.youtube.com/watch?v=speiV-F6c8s
Fiction Melee Lesson ft. Butterscotch  - Falco vs Fox,https://www.youtube.com/watch?v=m6laGwZBO9I
Fiction Melee Lesson ft. WayneBird - Falco vs Marth,https://www.youtube.com/watch?v=2hIfExe8G2A
Fiction Melee Lesson ft. Nurok - Falco vs Marth,https://www.youtube.com/watch?v=Qj-g3sST-QQ
Fiction Melee Lesson ft. Nanami #2 - Talking mentality/Puff vs Fox,https://www.youtube.com/watch?v=rvEXtnK6fus
Fiction Melee Lesson ft. KcBlue - Marth vs Falco,https://www.youtube.com/watch?v=16fDRrkqRGw
Fiction Melee Lesson ft. Gingerham #2 - Fox vs Sheik,https://www.youtube.com/watch?v=m4So5AhtgZA
Fiction Melee Lesson ft. Pbag - Puff vs Fox,https://www.youtube.com/watch?v=REbI36x8Ibk
Fiction Melee Lesson ft. Blesse  - Pikachu vs Sheik,https://www.youtube.com/watch?v=pb9L9Nicd9I
Fiction Melee Lesson ft. Boyd - Ice Climbers vs Fox,https://www.youtube.com/watch?v=kT6uXPVcDzQ
Fiction Melee Lesson ft. Gingerham - Fox vs Falco,https://www.youtube.com/watch?v=bfCd1qOFVho
Fiction Melee Lesson ft. Kacey - Falco vs Falcon,https://www.youtube.com/watch?v=PObZ9Yd0QQU
Fiction Melee Lesson ft. Hotdog Harold - Sheik vs Peach basics,https://www.youtube.com/watch?v=FtTBOaQT-s4
Fiction Melee Lesson ft. Ober #4 - Falco vs Sheik,https://www.youtube.com/watch?v=dV-ufNHLQJ8
Fiction Melee Lesson ft. AlyJ #2 - Falco vs Marth,https://www.youtube.com/watch?v=JoCQhon9Pmo
Fiction Melee Lesson ft. Cell #26 - Falco vs Fox,https://www.youtube.com/watch?v=XgE9LZYxwo4
"Fiction Melee Lesson ft. Cell #25 - Falco vs Marth, competitive mentality (last 30 mins)",https://www.youtube.com/watch?v=GzD4D287iKc
Fiction Melee Lesson ft. Bodunga of The Pooplands - Peach vs Fox,https://www.youtube.com/watch?v=h2RKyPzBLU0
